Time;Pos_x;Pos_y;Pos_z;Vel_x;Vel_y;Vel_z;Vel_norm;Acc_x;Acc_y;Acc_z;Acc_norm;Thrust;Omg_x;Omg_y;Omg_z;Omg_norm;Alpha;Quat_w;Quat_x;Quat_y;Quat_z;Yaw;Pitch;Roll
0;4.5;0;1.5;0;0;0;0;0;0;0;0;9.8;0;0;0;0;0;0.707;-0;-0;0.707;89.9827;-0;-0
0.02;4.5;1.04131e-05;1.5;-0.000318965;0.00155526;-0.000309087;0.00161743;-0.0320942;0.154185;-0.03056;0.160427;9.77071;2.60106e-22;-0.0158275;-0.00329499;0.0161669;0;0.706986;-0.00673976;0.00441724;0.706968;89.9827;-0.188168;0.904125
0.04;4.49998;8.22342e-05;1.49998;-0.00129149;0.00611419;-0.0012086;0.0063649;-0.0653473;0.300389;-0.0590494;0.313035;9.7458;-6.43459e-21;-0.0309931;-0.00674567;0.0317187;0;0.706949;-0.0132681;0.00852582;0.706875;89.9827;-0.384248;1.76616
0.06;4.49994;0.000273949;1.49995;-0.00294022;0.0135185;-0.00265755;0.0140875;-0.0997056;0.438744;-0.0855121;0.457985;9.7249;-4.18503e-21;-0.0454615;-0.0103423;0.0466231;0;0.706893;-0.0195793;0.0123251;0.706729;89.9827;-0.587863;2.58563
0.08;4.49986;0.000640905;1.49987;-0.00528673;0.0236125;-0.00461586;0.0246334;-0.135115;0.569381;-0.109992;0.59544;9.70766;1.52433e-19;-0.0592049;-0.014075;0.0608549;0;0.706823;-0.0256688;0.0158155;0.706534;89.9827;-0.798627;3.36224
0.1;4.49973;0.00123536;1.49976;-0.00835149;0.0362431;-0.00704429;0.0378541;-0.171523;0.69243;-0.132532;0.725565;9.69375;-1.38763e-19;-0.0722021;-0.0179339;0.074396;0;0.706745;-0.031533;0.0189987;0.706296;89.9827;-1.01614;4.09585
0.12;4.49952;0.00210654;1.49959;-0.0121539;0.05126;-0.0099045;0.0536041;-0.208874;0.808023;-0.153177;0.848523;9.68286;1.79781e-19;-0.0844386;-0.0219089;0.0872346;0;0.706661;-0.0371692;0.0218772;0.706022;89.9827;-1.24001;4.78645
0.14;4.49923;0.00330068;1.49936;-0.0167124;0.0685152;-0.013159;0.0717412;-0.247115;0.91629;-0.171969;0.964482;9.67469;-6.47288e-20;-0.0959051;-0.0259901;0.0993643;0;0.706577;-0.0425755;0.0244543;0.705717;89.9827;-1.4698;5.43418
0.16;4.49885;0.0048611;1.49906;-0.0220441;0.0878636;-0.0167712;0.0921262;-0.286192;1.01736;-0.188954;1.07361;9.66898;-3.2136e-19;-0.106598;-0.0301676;0.110784;0;0.706494;-0.0477508;0.0267343;0.705386;89.9827;-1.70511;6.03928
0.18;4.49835;0.00682823;1.49869;-0.0281653;0.109163;-0.0207054;0.114623;-0.326052;1.11137;-0.204174;1.17607;9.66547;-2.82304e-20;-0.116517;-0.0344316;0.121498;0;0.706416;-0.0526947;0.0287221;0.705034;89.9827;-1.9455;6.60208
0.2;4.49772;0.00923967;1.49823;-0.035091;0.132272;-0.0249267;0.139099;-0.366641;1.19844;-0.217674;1.27204;9.66394;-3.78762e-19;-0.125666;-0.0387725;0.131512;0;0.706345;-0.0574072;0.0304229;0.704665;89.9827;-2.19054;7.12304
